group_id,raw_detection_number_in_group,raw_video_name,raw_stop_start_time,raw_stop_end_time,raw_interval_seconds,seconds_from_group_start,group_start_time,group_end_time,group_duration_seconds,raw_detections_in_group
95,1,cortexvpu-01a-005-41884872_2026-06-19_07-44-14_496778.ts,2026-06-19 08:44:19.735555556,2026-06-19 08:44:20.992222222,1.256666,0.0,2026-06-19 08:44:19.735555556,2026-06-19 08:44:20.992222222,1.256666666,1
96,1,cortexvpu-01a-005-41884872_2026-06-19_07-45-23_207232.ts,2026-06-19 08:45:24.256666667,2026-06-19 08:45:25.352222222,1.095555,0.0,2026-06-19 08:45:24.256666667,2026-06-19 08:45:25.352222222,1.095555555,1
97,1,cortexvpu-01a-005-41884872_2026-06-19_07-46-02_503222.ts,2026-06-19 08:46:03.417777778,2026-06-19 08:46:04.964444444,1.546666,0.0,2026-06-19 08:46:03.417777778,2026-06-19 08:46:04.964444444,1.546666666,1
98,1,cortexvpu-01a-005-41884872_2026-06-19_07-46-18_509678.ts,2026-06-19 08:46:20.255555556,2026-06-19 08:46:23.832222222,3.576666,0.0,2026-06-19 08:46:20.255555556,2026-06-19 08:46:23.832222222,3.576666666,1
99,1,cortexvpu-01a-005-41884872_2026-06-19_07-46-37_333333.ts,2026-06-19 08:46:55.688888889,2026-06-19 08:46:57.171111111,1.482222,0.0,2026-06-19 08:46:55.688888889,2026-06-19 08:46:57.171111111,1.482222222,1
100,1,cortexvpu-01a-005-41884872_2026-06-19_08-06-36_619355.ts,2026-06-19 09:06:47.052222222,2026-06-19 09:06:50.242222222,3.19,0.0,2026-06-19 09:06:47.052222222,2026-06-19 09:06:50.242222222,3.19,1
101,1,cortexvpu-01a-005-41884872_2026-06-19_08-07-05_625811.ts,2026-06-19 09:07:06.385555556,2026-06-19 09:07:07.996666667,1.611111,0.0,2026-06-19 09:07:06.385555556,2026-06-19 09:07:07.996666667,1.611111111,1
102,1,cortexvpu-01a-005-41884872_2026-06-19_08-14-25_670967.ts,2026-06-19 09:15:11.335555556,2026-06-19 09:15:28.091111111,16.755555,0.0,2026-06-19 09:15:11.335555556,2026-06-19 09:15:28.091111111,16.755555555,1
103,1,cortexvpu-01a-005-41884872_2026-06-19_08-23-03_524141.ts,2026-06-19 09:23:47.144444444,2026-06-19 09:24:05.221111111,18.076666,0.0,2026-06-19 09:23:47.144444444,2026-06-19 09:24:05.221111111,18.076666667,1
104,1,cortexvpu-01a-005-41884872_2026-06-19_08-24-14_476679.ts,2026-06-19 09:24:16.062222222,2026-06-19 09:24:19.993333333,3.931111,0.0,2026-06-19 09:24:16.062222222,2026-06-19 09:24:19.993333333,3.931111111,1
105,1,cortexvpu-01a-005-41884872_2026-06-19_08-43-10_715128.ts,2026-06-19 09:44:11.157777778,2026-06-19 09:44:16.281111110,5.123333,0.0,2026-06-19 09:44:11.157777778,2026-06-19 09:44:16.281111110,5.123333332,1
